1.462911209222647457e+01 1.515888413279621361e+01 1.558655202158903919e+01 1.588810381747831357e+01 1.604428112581130605e+01 1.604428112581130605e+01 1.588810381747831357e+01 1.558655202158903919e+01 1.515888413279621361e+01 1.462911209222647457e+01
1.553775070176460815e+01 1.617607602712937620e+01 1.667619713093520062e+01 1.702967447320923355e+01 1.721287900064181997e+01 1.721287900064181997e+01 1.702967447320923355e+01 1.667619713093520062e+01 1.617607602712937620e+01 1.553775070176460815e+01
1.614223600275643022e+01 1.682529619699077017e+01 1.738312921181190163e+01 1.777937735611257253e+01 1.798656739771380941e+01 1.798656739771380941e+01 1.777937735611257253e+01 1.738312921181190163e+01 1.682529619699077017e+01 1.614223600275643022e+01
1.671932517804652818e+01 1.746434765396836397e+01 1.807911970787595024e+01 1.852268766202669070e+01 1.875565037705561622e+01 1.875565037705561622e+01 1.852268766202669070e+01 1.807911970787595024e+01 1.746434765396836397e+01 1.671932517804652818e+01
1.719114580709178242e+01 1.799061332007434544e+01 1.866057864074710082e+01 1.914817159310220163e+01 1.940590953618799475e+01 1.940590953618799475e+01 1.914817159310220163e+01 1.866057864074710082e+01 1.799061332007434544e+01 1.719114580709178242e+01
1.752862953368711985e+01 1.837440259074066518e+01 1.908773251353459699e+01 1.961052092011178871e+01 1.988850292940757569e+01 1.988850292940757569e+01 1.961052092011178871e+01 1.908773251353459699e+01 1.837440259074066518e+01 1.752862953368711985e+01
1.770247508160459660e+01 1.857254539172429020e+01 1.931055138254422232e+01 1.985334110772178562e+01 2.014250527245601319e+01 2.014250527245601319e+01 1.985334110772178917e+01 1.931055138254422232e+01 1.857254539172429020e+01 1.770247508160459660e+01
1.769539124012884912e+01 1.856486685411937287e+01 1.930257657572050078e+01 1.984521408648453189e+01 2.013453412095587680e+01 2.013453412095587680e+01 1.984521408648453900e+01 1.930257657572050078e+01 1.856486685411937287e+01 1.769539124012884912e+01
1.750951874953907961e+01 1.835346307115744224e+01 1.906682355943323515e+01 1.958962261605643107e+01 1.986760294652871650e+01 1.986760294652871650e+01 1.958962261605643107e+01 1.906682355943323870e+01 1.835346307115744224e+01 1.750951874953907961e+01
1.715505583055180949e+01 1.795155234028765179e+01 1.862009016964168140e+01 1.910720771521173944e+01 1.936516943663129098e+01 1.936516943663129098e+01 1.910720771521173944e+01 1.862009016964168140e+01 1.795155234028765179e+01 1.715505583055180949e+01
1.665962906284524792e+01 1.739457294826915046e+01 1.800587078545444797e+01 1.844769305940762294e+01 1.868037097447962225e+01 1.868037097447962225e+01 1.844769305940762294e+01 1.800587078545444797e+01 1.739457294826915046e+01 1.665962906284524792e+01
1.605285710335925842e+01 1.671886133467819846e+01 1.726723740644385074e+01 1.766027122330433841e+01 1.786605364563303411e+01 1.786605364563303411e+01 1.766027122330433841e+01 1.726723740644385074e+01 1.671886133467819846e+01 1.605285710335925842e+01
1.536694664338387462e+01 1.596324499453558765e+01 1.644926371329240666e+01 1.679466633514546814e+01 1.697448723520850677e+01 1.697448723520850677e+01 1.679466633514547169e+01 1.644926371329240666e+01 1.596324499453558765e+01 1.536694664338387462e+01
1.462911209222647457e+01 1.515888413279621361e+01 1.558655202158903919e+01 1.588810381747831357e+01 1.604428112581130605e+01 1.604428112581130605e+01 1.588810381747831357e+01 1.558655202158903919e+01 1.515888413279621361e+01 1.462911209222647457e+01
